security || This patch is a security patch (SRP) because it fixes a NULL pointer access vulnerability in the kernel.
security || This patch is a security patch (SRP) because it fixes a possible NULL pointer dereference vulnerability in the thermal driver.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a vulnerability that can cause an infinite loop and potential denial of service (DoS) attack.
security || This patch is a security patch (SRP) because it fixes a NULL-dereference vulnerability in the USB idmouse driver, which could be exploited by a malicious device lacking endpoints.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a NULL dereference bug that could potentially be exploited by an attacker to crash the system or execute arbitrary code.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a missing bounds check vulnerability in the do_PVK_body() function in OpenSSL.
security || This patch is a security patch (SRP) because it fixes a vulnerability that can lead to file system corruption.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a vulnerability that can cause memory allocation failures and trigger kernel warnings.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP). It fixes a memory leak issue in the wl12xx driver by freeing the skb when removing the interface.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a security patch (SRP) because it fixes a vulnerability that could lead to a stack overflow.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a memory allocation issue that could potentially lead to a denial of service (DoS) attack.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || This patch is a security patch (SRP) because it addresses a race condition vulnerability and prevents an attacker from opening an old file with incorrect permissions before the secret is written into it.
security || This patch is a security patch (SRP) because it adds protection to the tracer flags to prevent corruption and potential security issues.
security || This patch is a security patch (SRP) because it fixes a vulnerability where a negative chunk size could lead to memory accesses out of bounds.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch appears to be a security patch (SRP) because it fixes a memory allocation issue in the sslUpgrade function, which could potentially lead to security vulnerabilities.
security || Non-security patch (NSP)
security || This patch is a security patch (SRP) because it fixes a vulnerability where the driver neglects to check the return value from kmalloc() and may end up dereferencing a null pointer. The patch adds a check for the return value of kmalloc() and returns an error if it is NULL.
security || This patch is a non-security patch (NSP). It fixes a bug related to freeing a resource in the ath5k driver, but it does not address any security vulnerabilities.
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || This patch is a non-security patch (NSP).
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
security || Non-security patch (NSP)
